Query,RunNumber,ExecutionTime_ms,Configuration,IndexStrategy,DataSetSize
query_1,1,2960.494,Baseline,no_indexes,Large
query_1,2,2602.441,Baseline,no_indexes,Large
query_1,3,2817.255,Baseline,no_indexes,Large
query_1,4,2817.875,Baseline,no_indexes,Large
query_1,5,2908.975,Baseline,no_indexes,Large
query_1,6,2675.601,Baseline,no_indexes,Large
query_1,7,3143.924,Baseline,no_indexes,Large
query_1,8,2987.927,Baseline,no_indexes,Large
query_1,9,2705.346,Baseline,no_indexes,Large
query_1,10,2775.504,Baseline,no_indexes,Large
query_1,11,2899.666,Baseline,no_indexes,Large
query_1,12,3064.045,Baseline,no_indexes,Large
query_1,13,2680.137,Baseline,no_indexes,Large
query_1,14,2655.474,Baseline,no_indexes,Large
query_1,15,2762.411,Baseline,no_indexes,Large
query_1,16,2524.992,Baseline,no_indexes,Large
query_1,17,2765.395,Baseline,no_indexes,Large
query_1,18,2818.495,Baseline,no_indexes,Large
query_1,19,3077.678,Baseline,no_indexes,Large
query_1,20,2864.712,Baseline,no_indexes,Large
query_1,21,2673.058,Baseline,no_indexes,Large
query_1,22,2849.135,Baseline,no_indexes,Large
query_1,23,2646.658,Baseline,no_indexes,Large
query_1,24,2392.566,Baseline,no_indexes,Large
query_1,25,2817.875,Baseline,no_indexes,Large
query_1,26,3126.338,Baseline,no_indexes,Large
query_1,27,2904.069,Baseline,no_indexes,Large
query_1,28,3028.394,Baseline,no_indexes,Large
query_1,29,2781.084,Baseline,no_indexes,Large
query_1,30,2954.28,Baseline,no_indexes,Large
query_2,1,193.868,Baseline,no_indexes,Large
query_2,2,134.915,Baseline,no_indexes,Large
query_2,3,156.28,Baseline,no_indexes,Large
query_2,4,134.16,Baseline,no_indexes,Large
query_2,5,131.937,Baseline,no_indexes,Large
query_2,6,128.26,Baseline,no_indexes,Large
query_2,7,129.3,Baseline,no_indexes,Large
query_2,8,133.243,Baseline,no_indexes,Large
query_2,9,125.689,Baseline,no_indexes,Large
query_2,10,153.77,Baseline,no_indexes,Large
query_2,11,124.767,Baseline,no_indexes,Large
query_2,12,124.118,Baseline,no_indexes,Large
query_2,13,128.914,Baseline,no_indexes,Large
query_2,14,124.924,Baseline,no_indexes,Large
query_2,15,133.634,Baseline,no_indexes,Large
query_2,16,163.685,Baseline,no_indexes,Large
query_2,17,132.232,Baseline,no_indexes,Large
query_2,18,131.672,Baseline,no_indexes,Large
query_2,19,133.634,Baseline,no_indexes,Large
query_2,20,157.606,Baseline,no_indexes,Large
query_2,21,129.747,Baseline,no_indexes,Large
query_2,22,132.729,Baseline,no_indexes,Large
query_2,23,140.321,Baseline,no_indexes,Large
query_2,24,196.685,Baseline,no_indexes,Large
query_2,25,126.583,Baseline,no_indexes,Large
query_2,26,134.024,Baseline,no_indexes,Large
query_2,27,144.879,Baseline,no_indexes,Large
query_2,28,144.068,Baseline,no_indexes,Large
query_2,29,132.307,Baseline,no_indexes,Large
query_2,30,139.829,Baseline,no_indexes,Large
query_3,1,148.777,Baseline,no_indexes,Large
query_3,2,169.007,Baseline,no_indexes,Large
query_3,3,182.689,Baseline,no_indexes,Large
query_3,4,164.224,Baseline,no_indexes,Large
query_3,5,149.51,Baseline,no_indexes,Large
query_3,6,159.363,Baseline,no_indexes,Large
query_3,7,171.157,Baseline,no_indexes,Large
query_3,8,164.997,Baseline,no_indexes,Large
query_3,9,168.409,Baseline,no_indexes,Large
query_3,10,189.246,Baseline,no_indexes,Large
query_3,11,172.694,Baseline,no_indexes,Large
query_3,12,168.622,Baseline,no_indexes,Large
query_3,13,162.764,Baseline,no_indexes,Large
query_3,14,144.394,Baseline,no_indexes,Large
query_3,15,177.605,Baseline,no_indexes,Large
query_3,16,165.908,Baseline,no_indexes,Large
query_3,17,157.783,Baseline,no_indexes,Large
query_3,18,187.106,Baseline,no_indexes,Large
query_3,19,148.462,Baseline,no_indexes,Large
query_3,20,158.485,Baseline,no_indexes,Large
query_3,21,155.314,Baseline,no_indexes,Large
query_3,22,164.611,Baseline,no_indexes,Large
query_3,23,154.727,Baseline,no_indexes,Large
query_3,24,164.611,Baseline,no_indexes,Large
query_3,25,153.788,Baseline,no_indexes,Large
query_3,26,179.492,Baseline,no_indexes,Large
query_3,27,160.72,Baseline,no_indexes,Large
query_3,28,160.424,Baseline,no_indexes,Large
query_3,29,159.933,Baseline,no_indexes,Large
query_3,30,172.734,Baseline,no_indexes,Large
query_4,1,1407.554,Baseline,no_indexes,Large
query_4,2,1270.205,Baseline,no_indexes,Large
query_4,3,1265.84,Baseline,no_indexes,Large
query_4,4,1251.861,Baseline,no_indexes,Large
query_4,5,1325.087,Baseline,no_indexes,Large
query_4,6,1316.13,Baseline,no_indexes,Large
query_4,7,1335.281,Baseline,no_indexes,Large
query_4,8,1229.589,Baseline,no_indexes,Large
query_4,9,1258.161,Baseline,no_indexes,Large
query_4,10,1325.322,Baseline,no_indexes,Large
query_4,11,1321.779,Baseline,no_indexes,Large
query_4,12,1352.849,Baseline,no_indexes,Large
query_4,13,1435.309,Baseline,no_indexes,Large
query_4,14,1301.093,Baseline,no_indexes,Large
query_4,15,1376.673,Baseline,no_indexes,Large
query_4,16,1317.999,Baseline,no_indexes,Large
query_4,17,1381.802,Baseline,no_indexes,Large
query_4,18,1325.322,Baseline,no_indexes,Large
query_4,19,1317.596,Baseline,no_indexes,Large
query_4,20,1386.991,Baseline,no_indexes,Large
query_4,21,1354.662,Baseline,no_indexes,Large
query_4,22,1511.241,Baseline,no_indexes,Large
query_4,23,1468.281,Baseline,no_indexes,Large
query_4,24,1335.949,Baseline,no_indexes,Large
query_4,25,1296.073,Baseline,no_indexes,Large
query_4,26,1325.556,Baseline,no_indexes,Large
query_4,27,1414.391,Baseline,no_indexes,Large
query_4,28,1373.552,Baseline,no_indexes,Large
query_4,29,1265.152,Baseline,no_indexes,Large
query_4,30,1275.263,Baseline,no_indexes,Large
query_5,1,11767.239,Baseline,no_indexes,Large
query_5,2,10998.95,Baseline,no_indexes,Large
query_5,3,11480.664,Baseline,no_indexes,Large
query_5,4,13572.535,Baseline,no_indexes,Large
query_5,5,11093.445,Baseline,no_indexes,Large
query_5,6,11255.803,Baseline,no_indexes,Large
query_5,7,10688.605,Baseline,no_indexes,Large
query_5,8,11101.874,Baseline,no_indexes,Large
query_5,9,12626.112,Baseline,no_indexes,Large
query_5,10,11488.594,Baseline,no_indexes,Large
query_5,11,11731.785,Baseline,no_indexes,Large
query_5,12,10865.74,Baseline,no_indexes,Large
query_5,13,11389.086,Baseline,no_indexes,Large
query_5,14,12065.378,Baseline,no_indexes,Large
query_5,15,11576.05,Baseline,no_indexes,Large
query_5,16,11544.725,Baseline,no_indexes,Large
query_5,17,11293.265,Baseline,no_indexes,Large
query_5,18,14406.076,Baseline,no_indexes,Large
query_5,19,11722.792,Baseline,no_indexes,Large
query_5,20,11713.798,Baseline,no_indexes,Large
query_5,21,12218.297,Baseline,no_indexes,Large
query_5,22,12538.122,Baseline,no_indexes,Large
query_5,23,13699.442,Baseline,no_indexes,Large
query_5,24,12021.675,Baseline,no_indexes,Large
query_5,25,12726.413,Baseline,no_indexes,Large
query_5,26,11604.74,Baseline,no_indexes,Large
query_5,27,13686.041,Baseline,no_indexes,Large
query_5,28,12079.403,Baseline,no_indexes,Large
query_5,29,11075.576,Baseline,no_indexes,Large
query_5,30,11722.792,Baseline,no_indexes,Large
query_6,1,1027.221,Baseline,no_indexes,Large
query_6,2,892.244,Baseline,no_indexes,Large
query_6,3,973.536,Baseline,no_indexes,Large
query_6,4,877.002,Baseline,no_indexes,Large
query_6,5,851.78,Baseline,no_indexes,Large
query_6,6,885.847,Baseline,no_indexes,Large
query_6,7,1036.185,Baseline,no_indexes,Large
query_6,8,1154.316,Baseline,no_indexes,Large
query_6,9,858.036,Baseline,no_indexes,Large
query_6,10,912.635,Baseline,no_indexes,Large
query_6,11,986.435,Baseline,no_indexes,Large
query_6,12,1144.835,Baseline,no_indexes,Large
query_6,13,1167.991,Baseline,no_indexes,Large
query_6,14,990.587,Baseline,no_indexes,Large
query_6,15,857.386,Baseline,no_indexes,Large
query_6,16,843.376,Baseline,no_indexes,Large
query_6,17,827.414,Baseline,no_indexes,Large
query_6,18,815.673,Baseline,no_indexes,Large
query_6,19,936.841,Baseline,no_indexes,Large
query_6,20,981.524,Baseline,no_indexes,Large
query_6,21,945.205,Baseline,no_indexes,Large
query_6,22,1052.974,Baseline,no_indexes,Large
query_6,23,840.563,Baseline,no_indexes,Large
query_6,24,1150.173,Baseline,no_indexes,Large
query_6,25,1003.643,Baseline,no_indexes,Large
query_6,26,983.98,Baseline,no_indexes,Large
query_6,27,983.98,Baseline,no_indexes,Large
query_6,28,1049.024,Baseline,no_indexes,Large
query_6,29,1037.83,Baseline,no_indexes,Large
query_6,30,1001.26,Baseline,no_indexes,Large
query_7,1,789.831,Baseline,no_indexes,Large
query_7,2,885.41,Baseline,no_indexes,Large
query_7,3,808.774,Baseline,no_indexes,Large
query_7,4,927.903,Baseline,no_indexes,Large
query_7,5,790.547,Baseline,no_indexes,Large
query_7,6,737.359,Baseline,no_indexes,Large
query_7,7,778.275,Baseline,no_indexes,Large
query_7,8,892.491,Baseline,no_indexes,Large
query_7,9,822.813,Baseline,no_indexes,Large
query_7,10,874.222,Baseline,no_indexes,Large
query_7,11,735.855,Baseline,no_indexes,Large
query_7,12,851.911,Baseline,no_indexes,Large
query_7,13,925.531,Baseline,no_indexes,Large
query_7,14,888.073,Baseline,no_indexes,Large
query_7,15,825.162,Baseline,no_indexes,Large
query_7,16,804.875,Baseline,no_indexes,Large
query_7,17,822.917,Baseline,no_indexes,Large
query_7,18,800.975,Baseline,no_indexes,Large
query_7,19,708.836,Baseline,no_indexes,Large
query_7,20,749.065,Baseline,no_indexes,Large
query_7,21,738.484,Baseline,no_indexes,Large
query_7,22,769.576,Baseline,no_indexes,Large
query_7,23,931.695,Baseline,no_indexes,Large
query_7,24,723.714,Baseline,no_indexes,Large
query_7,25,697.932,Baseline,no_indexes,Large
query_7,26,696.602,Baseline,no_indexes,Large
query_7,27,694.014,Baseline,no_indexes,Large
query_7,28,804.875,Baseline,no_indexes,Large
query_7,29,900.241,Baseline,no_indexes,Large
query_7,30,897.569,Baseline,no_indexes,Large
query_1,1,24835.979,Baseline,single_column_indexes,Large
query_1,2,7905.228,Baseline,single_column_indexes,Large
query_1,3,24828.867,Baseline,single_column_indexes,Large
query_1,4,7596.294,Baseline,single_column_indexes,Large
query_1,5,7565.324,Baseline,single_column_indexes,Large
query_1,6,7322.343,Baseline,single_column_indexes,Large
query_1,7,7417.401,Baseline,single_column_indexes,Large
query_1,8,9172.681,Baseline,single_column_indexes,Large
query_1,9,7228.751,Baseline,single_column_indexes,Large
query_1,10,7376.138,Baseline,single_column_indexes,Large
query_1,11,7376.399,Baseline,single_column_indexes,Large
query_1,12,7478.783,Baseline,single_column_indexes,Large
query_1,13,7507.33,Baseline,single_column_indexes,Large
query_1,14,7038.098,Baseline,single_column_indexes,Large
query_1,15,7873.047,Baseline,single_column_indexes,Large
query_1,16,7905.228,Baseline,single_column_indexes,Large
query_1,17,7286.263,Baseline,single_column_indexes,Large
query_1,18,7771.074,Baseline,single_column_indexes,Large
query_1,19,7566.984,Baseline,single_column_indexes,Large
query_1,20,8065.121,Baseline,single_column_indexes,Large
query_1,21,7966.11,Baseline,single_column_indexes,Large
query_1,22,9732.379,Baseline,single_column_indexes,Large
query_1,23,8590.015,Baseline,single_column_indexes,Large
query_1,24,7937.409,Baseline,single_column_indexes,Large
query_1,25,8082.964,Baseline,single_column_indexes,Large
query_1,26,8297.994,Baseline,single_column_indexes,Large
query_1,27,7603.64,Baseline,single_column_indexes,Large
query_1,28,7945.483,Baseline,single_column_indexes,Large
query_1,29,9359.016,Baseline,single_column_indexes,Large
query_1,30,8131.227,Baseline,single_column_indexes,Large
query_2,1,90.523,Baseline,single_column_indexes,Large
query_2,2,93.422,Baseline,single_column_indexes,Large
query_2,3,99.324,Baseline,single_column_indexes,Large
query_2,4,83.642,Baseline,single_column_indexes,Large
query_2,5,98.79,Baseline,single_column_indexes,Large
query_2,6,88.654,Baseline,single_column_indexes,Large
query_2,7,104.668,Baseline,single_column_indexes,Large
query_2,8,89.676,Baseline,single_column_indexes,Large
query_2,9,90.575,Baseline,single_column_indexes,Large
query_2,10,91.619,Baseline,single_column_indexes,Large
query_2,11,84.489,Baseline,single_column_indexes,Large
query_2,12,100.207,Baseline,single_column_indexes,Large
query_2,13,88.882,Baseline,single_column_indexes,Large
query_2,14,88.446,Baseline,single_column_indexes,Large
query_2,15,104.228,Baseline,single_column_indexes,Large
query_2,16,88.071,Baseline,single_column_indexes,Large
query_2,17,113.294,Baseline,single_column_indexes,Large
query_2,18,90.523,Baseline,single_column_indexes,Large
query_2,19,91.843,Baseline,single_column_indexes,Large
query_2,20,87.719,Baseline,single_column_indexes,Large
query_2,21,97.461,Baseline,single_column_indexes,Large
query_2,22,113.514,Baseline,single_column_indexes,Large
query_2,23,97.4,Baseline,single_column_indexes,Large
query_2,24,88.41,Baseline,single_column_indexes,Large
query_2,25,84.689,Baseline,single_column_indexes,Large
query_2,26,90.471,Baseline,single_column_indexes,Large
query_2,27,87.764,Baseline,single_column_indexes,Large
query_2,28,87.546,Baseline,single_column_indexes,Large
query_2,29,83.769,Baseline,single_column_indexes,Large
query_2,30,84.051,Baseline,single_column_indexes,Large
query_3,1,178.243,Baseline,single_column_indexes,Large
query_3,2,188.23,Baseline,single_column_indexes,Large
query_3,3,163.216,Baseline,single_column_indexes,Large
query_3,4,184.956,Baseline,single_column_indexes,Large
query_3,5,155.261,Baseline,single_column_indexes,Large
query_3,6,153.488,Baseline,single_column_indexes,Large
query_3,7,159.039,Baseline,single_column_indexes,Large
query_3,8,153.588,Baseline,single_column_indexes,Large
query_3,9,182.243,Baseline,single_column_indexes,Large
query_3,10,156.22,Baseline,single_column_indexes,Large
query_3,11,162.743,Baseline,single_column_indexes,Large
query_3,12,163.279,Baseline,single_column_indexes,Large
query_3,13,154.73,Baseline,single_column_indexes,Large
query_3,14,162.417,Baseline,single_column_indexes,Large
query_3,15,170.333,Baseline,single_column_indexes,Large
query_3,16,196.186,Baseline,single_column_indexes,Large
query_3,17,204.081,Baseline,single_column_indexes,Large
query_3,18,178.167,Baseline,single_column_indexes,Large
query_3,19,178.144,Baseline,single_column_indexes,Large
query_3,20,167.402,Baseline,single_column_indexes,Large
query_3,21,153.335,Baseline,single_column_indexes,Large
query_3,22,166.618,Baseline,single_column_indexes,Large
query_3,23,166.084,Baseline,single_column_indexes,Large
query_3,24,166.618,Baseline,single_column_indexes,Large
query_3,25,184.572,Baseline,single_column_indexes,Large
query_3,26,179.039,Baseline,single_column_indexes,Large
query_3,27,177.012,Baseline,single_column_indexes,Large
query_3,28,167.151,Baseline,single_column_indexes,Large
query_3,29,163.322,Baseline,single_column_indexes,Large
query_3,30,160.6,Baseline,single_column_indexes,Large
query_4,1,203.474,Baseline,single_column_indexes,Large
query_4,2,187.643,Baseline,single_column_indexes,Large
query_4,3,219.227,Baseline,single_column_indexes,Large
query_4,4,225.063,Baseline,single_column_indexes,Large
query_4,5,191.389,Baseline,single_column_indexes,Large
query_4,6,214.949,Baseline,single_column_indexes,Large
query_4,7,201.84,Baseline,single_column_indexes,Large
query_4,8,183.282,Baseline,single_column_indexes,Large
query_4,9,201.874,Baseline,single_column_indexes,Large
query_4,10,219.609,Baseline,single_column_indexes,Large
query_4,11,180.262,Baseline,single_column_indexes,Large
query_4,12,231.026,Baseline,single_column_indexes,Large
query_4,13,234.015,Baseline,single_column_indexes,Large
query_4,14,197.851,Baseline,single_column_indexes,Large
query_4,15,224.107,Baseline,single_column_indexes,Large
query_4,16,200.965,Baseline,single_column_indexes,Large
query_4,17,201.857,Baseline,single_column_indexes,Large
query_4,18,242.121,Baseline,single_column_indexes,Large
query_4,19,230.735,Baseline,single_column_indexes,Large
query_4,20,226.02,Baseline,single_column_indexes,Large
query_4,21,188.961,Baseline,single_column_indexes,Large
query_4,22,191.287,Baseline,single_column_indexes,Large
query_4,23,188.146,Baseline,single_column_indexes,Large
query_4,24,188.173,Baseline,single_column_indexes,Large
query_4,25,222.711,Baseline,single_column_indexes,Large
query_4,26,207.677,Baseline,single_column_indexes,Large
query_4,27,177.505,Baseline,single_column_indexes,Large
query_4,28,201.857,Baseline,single_column_indexes,Large
query_4,29,191.881,Baseline,single_column_indexes,Large
query_4,30,179.66,Baseline,single_column_indexes,Large
query_5,1,15442.156,Baseline,single_column_indexes,Large
query_5,2,13597.918,Baseline,single_column_indexes,Large
query_5,3,13058.763,Baseline,single_column_indexes,Large
query_5,4,12006.727,Baseline,single_column_indexes,Large
query_5,5,12153.965,Baseline,single_column_indexes,Large
query_5,6,14007.317,Baseline,single_column_indexes,Large
query_5,7,12913.014,Baseline,single_column_indexes,Large
query_5,8,11286.51,Baseline,single_column_indexes,Large
query_5,9,11034.364,Baseline,single_column_indexes,Large
query_5,10,10836.611,Baseline,single_column_indexes,Large
query_5,11,11367.107,Baseline,single_column_indexes,Large
query_5,12,11373.756,Baseline,single_column_indexes,Large
query_5,13,11520.244,Baseline,single_column_indexes,Large
query_5,14,11792.443,Baseline,single_column_indexes,Large
query_5,15,13000.345,Baseline,single_column_indexes,Large
query_5,16,12923.482,Baseline,single_column_indexes,Large
query_5,17,10937.215,Baseline,single_column_indexes,Large
query_5,18,11406.856,Baseline,single_column_indexes,Large
query_5,19,11493.704,Baseline,single_column_indexes,Large
query_5,20,11792.443,Baseline,single_column_indexes,Large
query_5,21,12284.141,Baseline,single_column_indexes,Large
query_5,22,11429.316,Baseline,single_column_indexes,Large
query_5,23,11626.32,Baseline,single_column_indexes,Large
query_5,24,12035.05,Baseline,single_column_indexes,Large
query_5,25,11469.88,Baseline,single_column_indexes,Large
query_5,26,11282.089,Baseline,single_column_indexes,Large
query_5,27,10914.475,Baseline,single_column_indexes,Large
query_5,28,11958.566,Baseline,single_column_indexes,Large
query_5,29,12318.386,Baseline,single_column_indexes,Large
query_5,30,11439.447,Baseline,single_column_indexes,Large
query_6,1,966.487,Baseline,single_column_indexes,Large
query_6,2,1049.926,Baseline,single_column_indexes,Large
query_6,3,838.574,Baseline,single_column_indexes,Large
query_6,4,897.835,Baseline,single_column_indexes,Large
query_6,5,891.272,Baseline,single_column_indexes,Large
query_6,6,892.35,Baseline,single_column_indexes,Large
query_6,7,950.235,Baseline,single_column_indexes,Large
query_6,8,1075.214,Baseline,single_column_indexes,Large
query_6,9,983.614,Baseline,single_column_indexes,Large
query_6,10,1005.461,Baseline,single_column_indexes,Large
query_6,11,916.847,Baseline,single_column_indexes,Large
query_6,12,898.46,Baseline,single_column_indexes,Large
query_6,13,880.106,Baseline,single_column_indexes,Large
query_6,14,926.202,Baseline,single_column_indexes,Large
query_6,15,1037.494,Baseline,single_column_indexes,Large
query_6,16,864.56,Baseline,single_column_indexes,Large
query_6,17,884.161,Baseline,single_column_indexes,Large
query_6,18,984.748,Baseline,single_column_indexes,Large
query_6,19,897.835,Baseline,single_column_indexes,Large
query_6,20,861.432,Baseline,single_column_indexes,Large
query_6,21,985.617,Baseline,single_column_indexes,Large
query_6,22,911.311,Baseline,single_column_indexes,Large
query_6,23,1114.942,Baseline,single_column_indexes,Large
query_6,24,897.209,Baseline,single_column_indexes,Large
query_6,25,888.735,Baseline,single_column_indexes,Large
query_6,26,882.924,Baseline,single_column_indexes,Large
query_6,27,866.694,Baseline,single_column_indexes,Large
query_6,28,829.297,Baseline,single_column_indexes,Large
query_6,29,820.676,Baseline,single_column_indexes,Large
query_6,30,824.171,Baseline,single_column_indexes,Large
query_7,1,642.653,Baseline,single_column_indexes,Large
query_7,2,665.051,Baseline,single_column_indexes,Large
query_7,3,629.464,Baseline,single_column_indexes,Large
query_7,4,683.28,Baseline,single_column_indexes,Large
query_7,5,748.065,Baseline,single_column_indexes,Large
query_7,6,762.363,Baseline,single_column_indexes,Large
query_7,7,605.955,Baseline,single_column_indexes,Large
query_7,8,612.018,Baseline,single_column_indexes,Large
query_7,9,645.716,Baseline,single_column_indexes,Large
query_7,10,618.468,Baseline,single_column_indexes,Large
query_7,11,632.515,Baseline,single_column_indexes,Large
query_7,12,641.086,Baseline,single_column_indexes,Large
query_7,13,635.566,Baseline,single_column_indexes,Large
query_7,14,616.319,Baseline,single_column_indexes,Large
query_7,15,621.076,Baseline,single_column_indexes,Large
query_7,16,595.434,Baseline,single_column_indexes,Large
query_7,17,650.539,Baseline,single_column_indexes,Large
query_7,18,723.222,Baseline,single_column_indexes,Large
query_7,19,624.899,Baseline,single_column_indexes,Large
query_7,20,592.961,Baseline,single_column_indexes,Large
query_7,21,596.971,Baseline,single_column_indexes,Large
query_7,22,627.914,Baseline,single_column_indexes,Large
query_7,23,636.76,Baseline,single_column_indexes,Large
query_7,24,632.515,Baseline,single_column_indexes,Large
query_7,25,638.642,Baseline,single_column_indexes,Large
query_7,26,642.136,Baseline,single_column_indexes,Large
query_7,27,627.029,Baseline,single_column_indexes,Large
query_7,28,617.318,Baseline,single_column_indexes,Large
query_7,29,624.915,Baseline,single_column_indexes,Large
query_7,30,595.998,Baseline,single_column_indexes,Large
query_1,1,3683.154,Baseline,composite_indexes,Large
