Query,RunNumber,ExecutionTime_ms,Configuration,IndexStrategy,DataSetSize
query_1,1,2504.607,High Memory,no_indexes,Large
query_1,2,2505.055,High Memory,no_indexes,Large
query_1,3,2673.963,High Memory,no_indexes,Large
query_1,4,2437.248,High Memory,no_indexes,Large
query_1,5,2375.748,High Memory,no_indexes,Large
query_1,6,2384.301,High Memory,no_indexes,Large
query_1,7,2399.613,High Memory,no_indexes,Large
query_1,8,2438.79,High Memory,no_indexes,Large
query_1,9,2346.499,High Memory,no_indexes,Large
query_1,10,2530.575,High Memory,no_indexes,Large
query_1,11,2490.066,High Memory,no_indexes,Large
query_1,12,2504.159,High Memory,no_indexes,Large
query_1,13,2401.93,High Memory,no_indexes,Large
query_1,14,2394.213,High Memory,no_indexes,Large
query_1,15,2527.117,High Memory,no_indexes,Large
query_1,16,2332.48,High Memory,no_indexes,Large
query_1,17,2423.419,High Memory,no_indexes,Large
query_1,18,2506.154,High Memory,no_indexes,Large
query_1,19,2627.887,High Memory,no_indexes,Large
query_1,20,2519.814,High Memory,no_indexes,Large
query_1,21,2504.607,High Memory,no_indexes,Large
query_1,22,2751.085,High Memory,no_indexes,Large
query_1,23,2658.706,High Memory,no_indexes,Large
query_1,24,2846.563,High Memory,no_indexes,Large
query_1,25,2807.705,High Memory,no_indexes,Large
query_1,26,2647.532,High Memory,no_indexes,Large
query_1,27,2388.941,High Memory,no_indexes,Large
query_1,28,2566.62,High Memory,no_indexes,Large
query_1,29,2465.47,High Memory,no_indexes,Large
query_1,30,2338.463,High Memory,no_indexes,Large
query_2,1,172.66,High Memory,no_indexes,Large
query_2,2,127.6,High Memory,no_indexes,Large
query_2,3,132.421,High Memory,no_indexes,Large
query_2,4,131.287,High Memory,no_indexes,Large
query_2,5,152.12,High Memory,no_indexes,Large
query_2,6,130.229,High Memory,no_indexes,Large
query_2,7,132.411,High Memory,no_indexes,Large
query_2,8,146.617,High Memory,no_indexes,Large
query_2,9,128.479,High Memory,no_indexes,Large
query_2,10,133.738,High Memory,no_indexes,Large
query_2,11,178.707,High Memory,no_indexes,Large
query_2,12,202.249,High Memory,no_indexes,Large
query_2,13,133.474,High Memory,no_indexes,Large
query_2,14,172.806,High Memory,no_indexes,Large
query_2,15,136.689,High Memory,no_indexes,Large
query_2,16,124.959,High Memory,no_indexes,Large
query_2,17,134.002,High Memory,no_indexes,Large
query_2,18,136.935,High Memory,no_indexes,Large
query_2,19,125.611,High Memory,no_indexes,Large
query_2,20,132.917,High Memory,no_indexes,Large
query_2,21,149.043,High Memory,no_indexes,Large
query_2,22,124.414,High Memory,no_indexes,Large
query_2,23,122.644,High Memory,no_indexes,Large
query_2,24,133.738,High Memory,no_indexes,Large
query_2,25,147.933,High Memory,no_indexes,Large
query_2,26,126.966,High Memory,no_indexes,Large
query_2,27,121.715,High Memory,no_indexes,Large
query_2,28,137.772,High Memory,no_indexes,Large
query_2,29,141.882,High Memory,no_indexes,Large
query_2,30,124.891,High Memory,no_indexes,Large
query_3,1,153.936,High Memory,no_indexes,Large
query_3,2,143.333,High Memory,no_indexes,Large
query_3,3,173.11,High Memory,no_indexes,Large
query_3,4,216.252,High Memory,no_indexes,Large
query_3,5,158.238,High Memory,no_indexes,Large
query_3,6,162.444,High Memory,no_indexes,Large
query_3,7,180.301,High Memory,no_indexes,Large
query_3,8,161.594,High Memory,no_indexes,Large
query_3,9,175.2,High Memory,no_indexes,Large
query_3,10,153.122,High Memory,no_indexes,Large
query_3,11,148.929,High Memory,no_indexes,Large
query_3,12,157.708,High Memory,no_indexes,Large
query_3,13,154.062,High Memory,no_indexes,Large
query_3,14,151.192,High Memory,no_indexes,Large
query_3,15,156.734,High Memory,no_indexes,Large
query_3,16,186.849,High Memory,no_indexes,Large
query_3,17,175.259,High Memory,no_indexes,Large
query_3,18,162.233,High Memory,no_indexes,Large
query_3,19,149.213,High Memory,no_indexes,Large
query_3,20,218.467,High Memory,no_indexes,Large
query_3,21,182.368,High Memory,no_indexes,Large
query_3,22,162.655,High Memory,no_indexes,Large
query_3,23,168.532,High Memory,no_indexes,Large
query_3,24,221.244,High Memory,no_indexes,Large
query_3,25,145.354,High Memory,no_indexes,Large
query_3,26,175.432,High Memory,no_indexes,Large
query_3,27,162.444,High Memory,no_indexes,Large
query_3,28,155.796,High Memory,no_indexes,Large
query_3,29,220.739,High Memory,no_indexes,Large
query_3,30,151.137,High Memory,no_indexes,Large
query_4,1,1181.315,High Memory,no_indexes,Large
query_4,2,1054.669,High Memory,no_indexes,Large
query_4,3,1196.922,High Memory,no_indexes,Large
query_4,4,1172.393,High Memory,no_indexes,Large
query_4,5,1081.136,High Memory,no_indexes,Large
query_4,6,1005.059,High Memory,no_indexes,Large
query_4,7,1005.852,High Memory,no_indexes,Large
query_4,8,1015.647,High Memory,no_indexes,Large
query_4,9,1015.268,High Memory,no_indexes,Large
query_4,10,1054.669,High Memory,no_indexes,Large
query_4,11,1033.349,High Memory,no_indexes,Large
query_4,12,1113.678,High Memory,no_indexes,Large
query_4,13,1047.861,High Memory,no_indexes,Large
query_4,14,1027.18,High Memory,no_indexes,Large
query_4,15,1167.744,High Memory,no_indexes,Large
query_4,16,1146.006,High Memory,no_indexes,Large
