Query,RunNumber,ExecutionTime_ms,Configuration,IndexStrategy,DataSetSize
query_1,1,141.816,Baseline,no_indexes,Medium
query_1,2,144.003,Baseline,no_indexes,Medium
query_1,3,140.93,Baseline,no_indexes,Medium
query_1,4,139.409,Baseline,no_indexes,Medium
query_1,5,138.979,Baseline,no_indexes,Medium
query_1,6,140.171,Baseline,no_indexes,Medium
query_1,7,143.057,Baseline,no_indexes,Medium
query_1,8,138.871,Baseline,no_indexes,Medium
query_1,9,142.519,Baseline,no_indexes,Medium
query_1,10,139.744,Baseline,no_indexes,Medium
query_1,11,139.506,Baseline,no_indexes,Medium
query_1,12,139.212,Baseline,no_indexes,Medium
query_1,13,142.001,Baseline,no_indexes,Medium
query_1,14,141.631,Baseline,no_indexes,Medium
query_1,15,139.785,Baseline,no_indexes,Medium
query_1,16,141.386,Baseline,no_indexes,Medium
query_1,17,141.816,Baseline,no_indexes,Medium
query_1,18,146.575,Baseline,no_indexes,Medium
query_1,19,147.214,Baseline,no_indexes,Medium
query_1,20,143.736,Baseline,no_indexes,Medium
query_1,21,138.712,Baseline,no_indexes,Medium
query_1,22,149.355,Baseline,no_indexes,Medium
query_1,23,138.307,Baseline,no_indexes,Medium
query_1,24,139.63,Baseline,no_indexes,Medium
query_1,25,147.345,Baseline,no_indexes,Medium
query_1,26,139.111,Baseline,no_indexes,Medium
query_1,27,148.296,Baseline,no_indexes,Medium
query_1,28,144.334,Baseline,no_indexes,Medium
query_1,29,142.773,Baseline,no_indexes,Medium
query_1,30,144.121,Baseline,no_indexes,Medium
query_2,1,8.394,Baseline,no_indexes,Medium
query_2,2,7.79,Baseline,no_indexes,Medium
query_2,3,8.431,Baseline,no_indexes,Medium
query_2,4,8.048,Baseline,no_indexes,Medium
query_2,5,8.038,Baseline,no_indexes,Medium
query_2,6,8.535,Baseline,no_indexes,Medium
query_2,7,8.259,Baseline,no_indexes,Medium
query_2,8,9.252,Baseline,no_indexes,Medium
query_2,9,9.122,Baseline,no_indexes,Medium
query_2,10,7.73,Baseline,no_indexes,Medium
query_2,11,8.491,Baseline,no_indexes,Medium
query_2,12,8.394,Baseline,no_indexes,Medium
query_2,13,9.228,Baseline,no_indexes,Medium
query_2,14,8.367,Baseline,no_indexes,Medium
query_2,15,8.738,Baseline,no_indexes,Medium
query_2,16,7.987,Baseline,no_indexes,Medium
query_2,17,7.879,Baseline,no_indexes,Medium
query_2,18,7.865,Baseline,no_indexes,Medium
query_2,19,8.385,Baseline,no_indexes,Medium
query_2,20,7.792,Baseline,no_indexes,Medium
query_2,21,8.891,Baseline,no_indexes,Medium
query_2,22,8.883,Baseline,no_indexes,Medium
query_2,23,7.714,Baseline,no_indexes,Medium
query_2,24,7.956,Baseline,no_indexes,Medium
query_2,25,7.536,Baseline,no_indexes,Medium
query_2,26,8.832,Baseline,no_indexes,Medium
query_2,27,9.707,Baseline,no_indexes,Medium
query_2,28,8.402,Baseline,no_indexes,Medium
query_2,29,8.717,Baseline,no_indexes,Medium
query_2,30,7.861,Baseline,no_indexes,Medium
query_3,1,21.674,Baseline,no_indexes,Medium
query_3,2,21.378,Baseline,no_indexes,Medium
query_3,3,21.422,Baseline,no_indexes,Medium
query_3,4,21.768,Baseline,no_indexes,Medium
query_3,5,21.27,Baseline,no_indexes,Medium
query_3,6,21.931,Baseline,no_indexes,Medium
query_3,7,21.889,Baseline,no_indexes,Medium
query_3,8,22.263,Baseline,no_indexes,Medium
query_3,9,21.521,Baseline,no_indexes,Medium
query_3,10,21.21,Baseline,no_indexes,Medium
query_3,11,21.123,Baseline,no_indexes,Medium
query_3,12,21.212,Baseline,no_indexes,Medium
query_3,13,22.045,Baseline,no_indexes,Medium
query_3,14,22.312,Baseline,no_indexes,Medium
query_3,15,21.825,Baseline,no_indexes,Medium
query_3,16,21.794,Baseline,no_indexes,Medium
query_3,17,21.692,Baseline,no_indexes,Medium
query_3,18,21.872,Baseline,no_indexes,Medium
query_3,19,21.605,Baseline,no_indexes,Medium
query_3,20,22.586,Baseline,no_indexes,Medium
query_3,21,21.991,Baseline,no_indexes,Medium
query_3,22,21.117,Baseline,no_indexes,Medium
query_3,23,21.284,Baseline,no_indexes,Medium
query_3,24,21.403,Baseline,no_indexes,Medium
query_3,25,21.674,Baseline,no_indexes,Medium
query_3,26,22.379,Baseline,no_indexes,Medium
query_3,27,21.656,Baseline,no_indexes,Medium
query_3,28,21.395,Baseline,no_indexes,Medium
query_3,29,21.886,Baseline,no_indexes,Medium
query_3,30,21.614,Baseline,no_indexes,Medium
query_4,1,223.305,Baseline,no_indexes,Medium
query_4,2,220.614,Baseline,no_indexes,Medium
query_4,3,217.335,Baseline,no_indexes,Medium
query_4,4,220.019,Baseline,no_indexes,Medium
query_4,5,222.487,Baseline,no_indexes,Medium
query_4,6,220.611,Baseline,no_indexes,Medium
query_4,7,219.232,Baseline,no_indexes,Medium
query_4,8,220.622,Baseline,no_indexes,Medium
query_4,9,219.224,Baseline,no_indexes,Medium
query_4,10,225.626,Baseline,no_indexes,Medium
query_4,11,229.549,Baseline,no_indexes,Medium
query_4,12,217.141,Baseline,no_indexes,Medium
query_4,13,218.528,Baseline,no_indexes,Medium
query_4,14,222.729,Baseline,no_indexes,Medium
query_4,15,219.899,Baseline,no_indexes,Medium
query_4,16,218.309,Baseline,no_indexes,Medium
query_4,17,231.119,Baseline,no_indexes,Medium
query_4,18,220.905,Baseline,no_indexes,Medium
query_4,19,218.577,Baseline,no_indexes,Medium
query_4,20,218.786,Baseline,no_indexes,Medium
query_4,21,220.611,Baseline,no_indexes,Medium
query_4,22,219.934,Baseline,no_indexes,Medium
query_4,23,223.504,Baseline,no_indexes,Medium
query_4,24,224.876,Baseline,no_indexes,Medium
query_4,25,217.926,Baseline,no_indexes,Medium
query_4,26,221.814,Baseline,no_indexes,Medium
query_4,27,220.422,Baseline,no_indexes,Medium
query_4,28,220.985,Baseline,no_indexes,Medium
query_4,29,216.717,Baseline,no_indexes,Medium
query_4,30,220.607,Baseline,no_indexes,Medium
query_5,1,8393.841,Baseline,no_indexes,Medium
query_5,2,8210.448,Baseline,no_indexes,Medium
query_5,3,8138.487,Baseline,no_indexes,Medium
query_5,4,8206.767,Baseline,no_indexes,Medium
query_5,5,8138.35,Baseline,no_indexes,Medium
query_5,6,8323.795,Baseline,no_indexes,Medium
query_5,7,8453.825,Baseline,no_indexes,Medium
query_5,8,8224.39,Baseline,no_indexes,Medium
query_5,9,8378.612,Baseline,no_indexes,Medium
query_5,10,8292.675,Baseline,no_indexes,Medium
query_5,11,8307.365,Baseline,no_indexes,Medium
query_5,12,8372.117,Baseline,no_indexes,Medium
query_5,13,8335.242,Baseline,no_indexes,Medium
query_5,14,8400.375,Baseline,no_indexes,Medium
query_5,15,8387.306,Baseline,no_indexes,Medium
query_5,16,8379.234,Baseline,no_indexes,Medium
query_5,17,8247.885,Baseline,no_indexes,Medium
query_5,18,8469.858,Baseline,no_indexes,Medium
query_5,19,8449.661,Baseline,no_indexes,Medium
query_5,20,8696.69,Baseline,no_indexes,Medium
query_5,21,8644.11,Baseline,no_indexes,Medium
query_5,22,8599.575,Baseline,no_indexes,Medium
query_5,23,8647.201,Baseline,no_indexes,Medium
query_5,24,8393.841,Baseline,no_indexes,Medium
query_5,25,8699.664,Baseline,no_indexes,Medium
query_5,26,8694.454,Baseline,no_indexes,Medium
query_5,27,8701.204,Baseline,no_indexes,Medium
query_5,28,8657.98,Baseline,no_indexes,Medium
query_5,29,8669.118,Baseline,no_indexes,Medium
query_5,30,8624.084,Baseline,no_indexes,Medium
query_6,1,6953.655,Baseline,no_indexes,Medium
query_6,2,7121.862,Baseline,no_indexes,Medium
query_6,3,6925.095,Baseline,no_indexes,Medium
query_6,4,6931.085,Baseline,no_indexes,Medium
query_6,5,6871.858,Baseline,no_indexes,Medium
query_6,6,6838.155,Baseline,no_indexes,Medium
query_6,7,6849.9,Baseline,no_indexes,Medium
query_6,8,6908.704,Baseline,no_indexes,Medium
query_6,9,6910.11,Baseline,no_indexes,Medium
query_6,10,7256.137,Baseline,no_indexes,Medium
query_6,11,7081.874,Baseline,no_indexes,Medium
query_6,12,7057.752,Baseline,no_indexes,Medium
query_6,13,7071.467,Baseline,no_indexes,Medium
query_6,14,7069.766,Baseline,no_indexes,Medium
query_6,15,7049.616,Baseline,no_indexes,Medium
query_6,16,7109.176,Baseline,no_indexes,Medium
query_6,17,7041.47,Baseline,no_indexes,Medium
query_6,18,7017.557,Baseline,no_indexes,Medium
query_6,19,7195.956,Baseline,no_indexes,Medium
query_6,20,7228.83,Baseline,no_indexes,Medium
query_6,21,7004.426,Baseline,no_indexes,Medium
query_6,22,7071.83,Baseline,no_indexes,Medium
query_6,23,7410.061,Baseline,no_indexes,Medium
query_6,24,7071.648,Baseline,no_indexes,Medium
query_6,25,7071.648,Baseline,no_indexes,Medium
query_6,26,7286.562,Baseline,no_indexes,Medium
query_6,27,7103.202,Baseline,no_indexes,Medium
query_6,28,7230.8,Baseline,no_indexes,Medium
query_6,29,7280.657,Baseline,no_indexes,Medium
query_6,30,7502.316,Baseline,no_indexes,Medium
query_7,1,8472.215,Baseline,no_indexes,Medium
query_7,2,8719.153,Baseline,no_indexes,Medium
query_7,3,8467.937,Baseline,no_indexes,Medium
query_7,4,8208.855,Baseline,no_indexes,Medium
query_7,5,8133.165,Baseline,no_indexes,Medium
query_7,6,8815.58,Baseline,no_indexes,Medium
query_7,7,8066.681,Baseline,no_indexes,Medium
query_7,8,9155.341,Baseline,no_indexes,Medium
query_7,9,9072.719,Baseline,no_indexes,Medium
query_7,10,9017.435,Baseline,no_indexes,Medium
query_7,11,8720.813,Baseline,no_indexes,Medium
query_7,12,8143.043,Baseline,no_indexes,Medium
query_7,13,8689.372,Baseline,no_indexes,Medium
query_7,14,8235.445,Baseline,no_indexes,Medium
query_7,15,8400.811,Baseline,no_indexes,Medium
query_7,16,8412.374,Baseline,no_indexes,Medium
query_7,17,9108.92,Baseline,no_indexes,Medium
query_7,18,9155.41,Baseline,no_indexes,Medium
query_7,19,8411.152,Baseline,no_indexes,Medium
query_7,20,8405.982,Baseline,no_indexes,Medium
query_7,21,8009.589,Baseline,no_indexes,Medium
query_7,22,7755.669,Baseline,no_indexes,Medium
query_7,23,7919.785,Baseline,no_indexes,Medium
query_7,24,8026.067,Baseline,no_indexes,Medium
query_7,25,8295.67,Baseline,no_indexes,Medium
query_7,26,7906.32,Baseline,no_indexes,Medium
query_7,27,7922.362,Baseline,no_indexes,Medium
query_7,28,7784.43,Baseline,no_indexes,Medium
query_7,29,8512.75,Baseline,no_indexes,Medium
query_7,30,8405.982,Baseline,no_indexes,Medium
query_1,1,123.725,Baseline,single_column_indexes,Medium
query_1,2,120.618,Baseline,single_column_indexes,Medium
query_1,3,119.323,Baseline,single_column_indexes,Medium
query_1,4,119.011,Baseline,single_column_indexes,Medium
query_1,5,118.273,Baseline,single_column_indexes,Medium
query_1,6,123.077,Baseline,single_column_indexes,Medium
query_1,7,119.115,Baseline,single_column_indexes,Medium
query_1,8,119.449,Baseline,single_column_indexes,Medium
query_1,9,120.432,Baseline,single_column_indexes,Medium
query_1,10,119.216,Baseline,single_column_indexes,Medium
query_1,11,119.301,Baseline,single_column_indexes,Medium
query_1,12,117.651,Baseline,single_column_indexes,Medium
query_1,13,122.453,Baseline,single_column_indexes,Medium
