Query,RunNumber,ExecutionTime_ms,Configuration,IndexStrategy,DataSetSize
query_1,1,132.995,High Memory,no_indexes,Medium
query_1,2,132.296,High Memory,no_indexes,Medium
query_1,3,134.395,High Memory,no_indexes,Medium
query_1,4,131.408,High Memory,no_indexes,Medium
query_1,5,132.995,High Memory,no_indexes,Medium
query_1,6,133.184,High Memory,no_indexes,Medium
query_1,7,136.643,High Memory,no_indexes,Medium
query_1,8,132.223,High Memory,no_indexes,Medium
query_1,9,132.775,High Memory,no_indexes,Medium
query_1,10,133.902,High Memory,no_indexes,Medium
query_1,11,133.745,High Memory,no_indexes,Medium
query_1,12,132.503,High Memory,no_indexes,Medium
query_1,13,134.11,High Memory,no_indexes,Medium
query_1,14,133.636,High Memory,no_indexes,Medium
query_1,15,131.844,High Memory,no_indexes,Medium
query_1,16,132.806,High Memory,no_indexes,Medium
query_1,17,135.624,High Memory,no_indexes,Medium
query_1,18,136,High Memory,no_indexes,Medium
query_1,19,132.736,High Memory,no_indexes,Medium
query_1,20,131.775,High Memory,no_indexes,Medium
query_1,21,134.484,High Memory,no_indexes,Medium
query_1,22,136.017,High Memory,no_indexes,Medium
query_1,23,131.835,High Memory,no_indexes,Medium
query_1,24,132.429,High Memory,no_indexes,Medium
query_1,25,132.771,High Memory,no_indexes,Medium
query_1,26,134.159,High Memory,no_indexes,Medium
query_1,27,132.129,High Memory,no_indexes,Medium
query_1,28,132.255,High Memory,no_indexes,Medium
query_1,29,131.583,High Memory,no_indexes,Medium
query_1,30,133.215,High Memory,no_indexes,Medium
query_2,1,7.878,High Memory,no_indexes,Medium
query_2,2,7.443,High Memory,no_indexes,Medium
query_2,3,8.203,High Memory,no_indexes,Medium
query_2,4,7.85,High Memory,no_indexes,Medium
query_2,5,8.526,High Memory,no_indexes,Medium
query_2,6,7.994,High Memory,no_indexes,Medium
query_2,7,7.634,High Memory,no_indexes,Medium
query_2,8,7.424,High Memory,no_indexes,Medium
query_2,9,7.539,High Memory,no_indexes,Medium
query_2,10,7.646,High Memory,no_indexes,Medium
query_2,11,7.686,High Memory,no_indexes,Medium
query_2,12,7.864,High Memory,no_indexes,Medium
query_2,13,8.037,High Memory,no_indexes,Medium
query_2,14,8.014,High Memory,no_indexes,Medium
query_2,15,7.861,High Memory,no_indexes,Medium
query_2,16,8.333,High Memory,no_indexes,Medium
query_2,17,7.527,High Memory,no_indexes,Medium
query_2,18,7.488,High Memory,no_indexes,Medium
query_2,19,7.787,High Memory,no_indexes,Medium
query_2,20,9.157,High Memory,no_indexes,Medium
query_2,21,7.944,High Memory,no_indexes,Medium
query_2,22,8.164,High Memory,no_indexes,Medium
query_2,23,7.609,High Memory,no_indexes,Medium
query_2,24,7.878,High Memory,no_indexes,Medium
query_2,25,8.172,High Memory,no_indexes,Medium
query_2,26,8.45,High Memory,no_indexes,Medium
query_2,27,8.581,High Memory,no_indexes,Medium
query_2,28,7.598,High Memory,no_indexes,Medium
query_2,29,7.841,High Memory,no_indexes,Medium
query_2,30,7.892,High Memory,no_indexes,Medium
query_3,1,20.311,High Memory,no_indexes,Medium
query_3,2,19.954,High Memory,no_indexes,Medium
query_3,3,20.337,High Memory,no_indexes,Medium
query_3,4,21.211,High Memory,no_indexes,Medium
query_3,5,19.761,High Memory,no_indexes,Medium
query_3,6,20.672,High Memory,no_indexes,Medium
query_3,7,20.514,High Memory,no_indexes,Medium
query_3,8,21.088,High Memory,no_indexes,Medium
query_3,9,20.337,High Memory,no_indexes,Medium
