Query,IndexStrategy,mean,median,std,var,min,max,count
query_1,composite_indexes,3134.947333333333,3041.371,270.20782880096823,73012.27074533334,2779.485,3749.962,30
query_1,covering_indexes,2994.5226333333335,3017.896,163.25413590990127,26651.912891688513,2711.463,3290.055,30
query_1,expression_indexes,3005.716566666667,2979.969,240.07095717375518,57634.06447832299,2541.513,3398.907,30
query_1,no_indexes,2822.7268,2817.875,177.84320337393683,31628.20498630345,2392.566,3143.924,30
query_1,partial_indexes,3030.1989000000003,3001.8685,259.4614130154139,67320.22484395519,2604.896,3635.351,30
query_1,single_column_indexes,9025.452333333333,7889.1375,4341.914997994193,18852225.849806912,7038.098,24835.979,30
query_2,composite_indexes,111.35163333333334,103.821,16.662373876664365,277.6347032057471,90.028,140.356,30
query_2,covering_indexes,163.18396666666666,157.127,23.935838117311892,572.9243463781609,132.304,214.314,30
query_2,expression_indexes,146.47686666666667,133.5235,27.088022536669712,733.7609649471262,125.597,211.625,30
query_2,no_indexes,139.926,133.43849999999998,18.181789591748686,330.5774727586208,124.118,196.685,30
query_2,partial_indexes,148.66516666666666,142.74,16.109474323244207,259.5151629712644,130.105,192.866,30
query_2,single_column_indexes,92.789,90.497,8.048689094376238,64.781396137931,83.642,113.514,30
query_3,composite_indexes,191.0607,184.841,21.631050536686597,467.9023473206895,161.264,241.194,30
query_3,covering_indexes,178.54686666666666,180.722,19.042784678886562,362.62764832643677,149.726,238.97,30
query_3,expression_indexes,158.8709,153.93849999999998,15.599875614778204,243.35611919655165,142.598,226.473,30
query_3,no_indexes,164.5852,164.4175,11.257445595601649,126.73008133793097,144.394,189.246,30
query_3,partial_indexes,174.6085,170.029,20.962967407656834,439.4460025344826,149.338,226.417,30
query_3,single_column_indexes,169.87723333333332,166.618,13.215104716490753,174.63899266781613,153.335,204.081,30
query_4,composite_indexes,1111.8319666666669,1105.9175,59.55088810738396,3546.3082743781642,1030.698,1249.825,30
query_4,covering_indexes,1433.4529666666667,1426.931,77.5899081824271,6020.193851757466,1272.575,1616.571,30
query_4,expression_indexes,1257.6041666666667,1243.526,63.38416902648612,4017.552883178162,1151.228,1383.681,30
query_4,no_indexes,1337.4187666666667,1325.322,65.55329444083742,4297.234412047126,1229.589,1511.241,30
query_4,partial_indexes,1365.5063333333335,1350.398,87.87459927816947,7721.945198298862,1242.684,1630.814,30
query_4,single_column_indexes,205.17223333333334,201.857,18.444501892084986,340.1996500471267,177.505,242.121,30
query_5,composite_indexes,10777.022366666666,10766.271,298.92828623122415,89358.12030913666,10047.315,11329.222,30
query_5,covering_indexes,11130.2967,11025.0,538.7218113877573,290221.1900649063,10406.355,12415.604,30
query_5,expression_indexes,11507.9433,11423.853,503.0400210078,253049.2627355279,10718.375,12791.443,30
query_5,no_indexes,11925.167233333334,11718.295,918.1509648149366,843001.1941905989,10688.605,14406.076,30
query_5,partial_indexes,11421.4466,11062.855,1166.9556945684344,1361785.5930856972,10391.958,15030.246,30
query_5,single_column_indexes,12023.420333333333,11709.3815,1031.028576945518,1063019.9264782998,10836.611,15442.156,30
query_6,composite_indexes,847.7251,828.731,49.54355163883244,2454.563508989657,774.136,939.695,30
query_6,covering_indexes,843.2927666666667,821.2405,78.01800060803089,6086.808418874709,763.144,1044.582,30
query_6,expression_indexes,967.5075666666667,973.51,87.48904907302571,7654.333707702301,822.626,1240.555,30
query_6,no_indexes,968.9832,982.752,103.02427336995346,10614.0009034069,815.673,1167.991,30
query_6,partial_indexes,965.6681666666667,985.5325,107.27134213665295,11507.140843798854,821.165,1180.168,30
query_6,single_column_indexes,924.1463,897.835,75.96411283700868,5770.5464391137875,820.676,1114.942,30
query_7,composite_indexes,657.3204666666667,646.9835,44.75951457298432,2003.4141448091957,604.838,772.176,30
query_7,covering_indexes,623.7371666666667,618.415,27.138016331698605,736.4719304195402,587.798,701.417,30
query_7,expression_indexes,757.7012666666667,758.475,73.0183717713106,5331.682616133329,637.814,902.043,30
query_7,no_indexes,809.1842333333334,804.875,74.87744889124443,5606.6323524609215,694.014,931.695,30
query_7,partial_indexes,749.8287,742.062,68.80267043692223,4733.807459251731,652.483,893.014,30
query_7,single_column_indexes,639.5616000000001,630.9895,41.138379682942485,1692.366282937935,592.961,762.363,30
